local authority name	2001	2011	2021
Lewisham	5678	6806	6296
Lewisham	8460	6547	5936
Lewisham	6057	4643	3985
Lewisham	9455	6891	7206
Lewisham	6830	3377	3854
Lewisham	8986	5146	5152
Merton	6060	2740	3103
Merton	6859	6112	5703
Merton	5221	4252	4298
Merton	6278	4321	4644
Merton	6220	7945	7593
Merton	5255	4212	4364
Merton	3608	6551	6667
Merton	5767	5807	5213
Merton	5590	5924	6218
Merton	4840	2652	3339
Merton	6949	5176	4427
Merton	6202	3262	3167
Merton	5968	3810	3812
Merton	6511	4547	4648
Merton	6666	4956	5303
Merton	7097	3550	3652
Merton	6103	5637	5659
Merton	5979	5848	6190
Merton	6602	3589	3791
Merton	6603	2277	2702
Newham	5595	3511	2839
Newham	4313	6155	5866
Newham	5979	4294	3409
Newham	6347	8322	7552
Newham	6267	7260	7214
Newham	3190	5771	5402
Newham	1439	7065	7562
Newham	6392	3648	4204
Newham	4567	8750	7297
Newham	3925	2952	3511
Newham	1461	7185	7092
Newham	1531	7780	6496
Newham	3180	6986	6545
Newham	2783	5916	6124
Newham	4114	7867	7106
Newham	5297	1377	2182
Newham	3321	2413	2658
Newham	4728	8006	8204
Newham	3149	5054	5496
Newham	4812	7689	7435
Redbridge	7232	6111	6228
Redbridge	6482	5137	4834
Redbridge	8925	5659	4966
Redbridge	8088	4120	4498
Redbridge	7712	4198	3802
Redbridge	6517	3031	2599
Redbridge	2558	2580	3029
Redbridge	4427	4706	4115
Redbridge	8310	3647	3556
Redbridge	8288	2882	2791
Redbridge	4278	7350	6565
Redbridge	9651	4281	3835
Redbridge	3218	3560	3018
Redbridge	5475	4303	3514
Redbridge	8170	6796	6280
Redbridge	4967	4921	4294
Redbridge	7726	7333	6591
Redbridge	4674	3091	3022
Redbridge	8008	5401	5040
Redbridge	3921	6278	6013
Redbridge	8470	7387	6300
Richmond upon Thames	6964	3408	3123
Richmond upon Thames	7649	1789	1703
Richmond upon Thames	7932	2320	2120
Richmond upon Thames	7287	1583	1410
Richmond upon Thames	8118	4398	3959
Richmond upon Thames	7537	1462	1261
Richmond upon Thames	7499	3629	2904
Richmond upon Thames	7403	2319	2537
Richmond upon Thames	7209	2628	2292
Richmond upon Thames	7854	776	796
Richmond upon Thames	7265	730	780
Richmond upon Thames	7795	1772	1365
Richmond upon Thames	7289	1517	1479
Richmond upon Thames	7377	2592	2396
Richmond upon Thames	8094	2165	1976
Richmond upon Thames	7397	2872	2372
Richmond upon Thames	7759	3809	3339
Richmond upon Thames	7227	485	443
Southwark	4887	2143	2040
Southwark	5172	2008	2907
Southwark	6561	2517	3194
Southwark	5253	10	3217
Southwark	6556	1616	1490
Southwark	6860	2967	2696
Southwark	5673	4156	2696
Southwark	5268	4080	2362
Southwark	6719	7864	6429
Southwark	4991	5366	3188
Southwark	6395	8541	7188
Southwark	4756	3012	1667
Southwark	2928	1087	708
Southwark	6788	2224	1386
Southwark	6950	7074	4980
Southwark	7240	6152	3998
Southwark	7115	2235	1670
Southwark	5799	7859	6365
Southwark	7649	957	857
Southwark	6304	1524	1023
Southwark	7888	2717	1596
Sutton	8479	6252	5205
Sutton	8183	2045	1342
Sutton	7946	2288	1523
Sutton	8315	6651	5478
Sutton	8298	2164	1492
Sutton	7886	4639	4027
Sutton	8828	7366	6694
Sutton	9392	7086	6263
Sutton	8653	7749	7110
Sutton	8126	8033	7808
Sutton	8167	6682	6024
Sutton	6996	7671	7233
Sutton	8026	7145	6374
Sutton	9053	7919	7454
Sutton	8604	5822	4956
Sutton	8079	7540	6781
Sutton	9123	8090	7593
Sutton	8361	6633	6280
Tower Hamlets	5186	8046	7409
Tower Hamlets	4289	7109	6202
Tower Hamlets	6394	7939	7732
Tower Hamlets	5732	8338	7732
Tower Hamlets	6546	7450	6887
Tower Hamlets	3882	7418	7166
Tower Hamlets	5352	6912	6081
Tower Hamlets	5605	3943	3271
Tower Hamlets	5639	3778	4109
Tower Hamlets	4356	3875	3576
Tower Hamlets	6658	4876	3823
Tower Hamlets	4956	5467	5412
Tower Hamlets	5535	7370	6585
Tower Hamlets	3772	5028	4444
Tower Hamlets	1877	3610	2857
Tower Hamlets	5014	7857	7771
Tower Hamlets	3358	5466	5182
Waltham Forest	4930	4652	3958
Waltham Forest	3980	7113	6176
Waltham Forest	7097	3729	4423
Waltham Forest	8214	4551	5525
Waltham Forest	8363	4583	4298
Waltham Forest	4399	2616	2785
Waltham Forest	4550	4641	5112
Waltham Forest	7743	5548	5099
Waltham Forest	8475	5531	5809
Waltham Forest	5343	2680	2497
Waltham Forest	6154	5617	5746
Waltham Forest	5823	6638	5602
Waltham Forest	8439	5365	5187
Waltham Forest	4427	7471	6190
Waltham Forest	4472	7365	6139
Waltham Forest	5246	8543	7851
Waltham Forest	4591	7339	6861
Waltham Forest	7783	7452	6792
Waltham Forest	5431	3258	3335
Waltham Forest	6234	8329	7383
Wandsworth	8777	5472	4896
Wandsworth	8353	7814	6660
Wandsworth	8752	6688	5743
Wandsworth	8958	5103	4441
Wandsworth	8299	5577	5451
Wandsworth	7455	7226	6050
Wandsworth	6739	6555	5762
Wandsworth	6506	7152	6035
Wandsworth	9220	7163	6806
Wandsworth	9518	7829	7400
Wandsworth	7114	7450	6466
Wandsworth	8730	5272	4826
Wandsworth	7739	5795	4956
Wandsworth	9166	6870	5682
Wandsworth	9494	4365	4327
Wandsworth	9407	7055	7272
Wandsworth	6505	6167	5436
Wandsworth	10251	2208	2308
Wandsworth	8662	1979	2404
Wandsworth	9020	3563	3161
Westminster	4858	5030	4066
Westminster	4105	4140	4081
Westminster	4904	2354	2005
Westminster	4778	3968	4287
Westminster	2512	1566	1134
Westminster	3452	2618	2402
Westminster	4017	5023	4389
Westminster	4564	5873	5136
Westminster	4818	2266	1885
Westminster	4192	3164	2208
Westminster	5162	3026	2357
Westminster	4374	4586	3678
Westminster	3511	3409	2957
Westminster	4684	3540	3795
Westminster	5184	2064	2291
Westminster	5324	4516	4716
Westminster	4706	8464	7187
Westminster	5057	5677	4763
Westminster	3941	3531	3720
Westminster	3795	3326	4296
		4899	4520
		8532	7441
		2637	3213
		3669	4077
		4356	5157
		6621	5629
		2508	3218
		2423	3090
		4370	4257
		1954	2361
		3031	4355
		3013	3040
		6769	5277
		4141	4930
		2957	3436
		11063	10322
		7931	6907
		9119	8504
		4070	3703
		6897	6892
		7781	7222
		174	1638
		8819	7991
		8131	6486
		6060	6324
		7733	6991
		6412	6066
		7469	7453
		9840	9835
		6810	7233
		5898	6813
		6862	6579
		6198	6064
		10306	9902
		9197	9456
		7493	6356
		9476	8293
		4862	3654
		4708	3696
		2611	2016
		3490	2782
		2799	2083
		5164	3519
		3725	2760
		4015	3126
		4233	3451
		5444	3446
		5731	4318
		5436	3805
		3711	3041
		4369	3173
		4621	3514
		4846	3497
		4637	3014
		2932	2306
